Source.Name;Time;P1;Q;P2
FE08P100M2.txt;4.9000000000000119e+000;1.5187276017534475e+002;-4.0000000000000000e+000;1.5150579855317835e+002
FE08P100M2.txt;5.0000000000000124e+000;1.5171655210721190e+002;-4.0000000000000000e+000;1.5134652381468615e+002
FE08P100M2.txt;5.1000000000000130e+000;1.5157451377407170e+002;-4.0000000000000000e+000;1.5120054372334457e+002
FE08P100M2.txt;5.2000000000000135e+000;1.5144893656221998e+002;-4.0000000000000000e+000;1.5107032981102066e+002
FE08P100M2.txt;5.3000000000000140e+000;1.5134161907434665e+002;-4.0000000000000000e+000;1.5095786349353239e+002
FE08P100M2.txt;5.4000000000000146e+000;1.5125350718680696e+002;-4.0000000000000000e+000;1.5086428083016162e+002
FE08P100M2.txt;5.5000000000000151e+000;1.5118494352989401e+002;-4.0000000000000000e+000;1.5079010882980134e+002
FE08P100M2.txt;5.6000000000000156e+000;1.5113563017900066e+002;-4.0000000000000000e+000;1.5073521588475836e+002
FE08P100M2.txt;5.7000000000000162e+000;1.5110476159570868e+002;-4.0000000000000000e+000;1.5069895108634469e+002
FE08P100M2.txt;5.8000000000000167e+000;1.5109110348757326e+002;-4.0000000000000000e+000;1.5068021647136817e+002
FE08P100M2.txt;5.9000000000000172e+000;1.5109303429196706e+002;-4.0000000000000000e+000;1.5067750322123302e+002
FE08P100M2.txt;6.0000000000000178e+000;1.5110870207108647e+002;-4.0000000000000000e+000;1.5068904166894680e+002
FE08P100M2.txt;6.1000000000000183e+000;1.5113609800010659e+002;-4.0000000000000000e+000;1.5071288117535394e+002
FE08P100M2.txt;6.2000000000000188e+000;1.5117325071048484e+002;-4.0000000000000000e+000;1.5074708408526755e+002
FE08P100M2.txt;6.3000000000000194e+000;1.5121800700294904e+002;-4.0000000000000000e+000;1.5078950905830129e+002
FE08P100M2.txt;6.4000000000000199e+000;1.5126832494556172e+002;-4.0000000000000000e+000;1.5083810113820834e+002
FE08P100M2.txt;6.5000000000000204e+000;1.5132229333129510e+002;-4.0000000000000000e+000;1.5089091977501826e+002
FE08P100M2.txt;6.6000000000000210e+000;1.5137815654827617e+002;-4.0000000000000000e+000;1.5094616551303145e+002
FE08P100M2.txt;6.7000000000000215e+000;1.5143435533498692e+002;-4.0000000000000000e+000;1.5100222108843920e+002
FE08P100M2.txt;6.8000000000000220e+000;1.5148952308119911e+002;-4.0000000000000000e+000;1.5105765752061754e+002
FE08P100M2.txt;6.9000000000000226e+000;1.5154259753334628e+002;-4.0000000000000000e+000;1.5111135110724950e+002
